WUC,POS,WUCPubId,WUCLaunchPoints
13G3112,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0000-01AA-320A-A
13G3112,,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-30-0215-01AA-320A-A
13G3120,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0000-01AA-320A-A
13G3120,,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-30-0215-01AA-320A-A
13G3122,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0000-01AA-320A-A
13G3122,,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-30-0215-01AA-320A-A
13G3210,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0000-01AA-320A-A
13G3210,,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0069-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E32-30-0215-01AA-320A-A
13G3214,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0000-01AA-320A-A
13G3214,,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-30-0215-01AA-320A-A
13G3215,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0000-01AA-320A-A
13G3215,,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-30-0215-01AA-320A-A
13G3220,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0000-01AA-320A-A
13G3220,,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0069-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E32-30-0215-01AA-320A-A
13G3224,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0000-01AA-320A-A
13G3224,,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-30-0215-01AA-320A-A
13G3225,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0000-01AA-320A-A
13G3225,,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-30-0215-01AA-320A-A
13G3300,LH,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-40-0250-01AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E32-40-0256-01AA-520A-A
13G3300,RH,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-40-0250-01AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E32-40-0256-01AA-520A-A
13G3500,LH,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-40-0052-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E32-40-0250-01AA-320A-A
13G3500,RH,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-40-0052-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E32-40-0250-01AA-320A-A
